Nom image;V3;V2;V1;delta V2-V1;delta V3-V1;delta V3-V2;;;moyenne In;moyenne Sc;;V4 ;V5 ;V6 filtre avant top;V7 filtre apres top;;;V8;V309
Sc_156 ;63,47;45,35;47,4;-2,05;16,07;18,12;;;;;;74,18;74,18;74,55;74,5;;;74,18;74,18
Sc_157 ;65,89;2,33;44,69;-42,36;21,2;63,56;;;;;;78,81;78,81;78,48;78,36;;;78,81;78,81
Sc_158 ;26,87;0;13,92;-13,92;12,95;26,87;;;;;;52,63;52,63;57,93;57,65;;;52,63;52,63
Sc_159 ;42,24;0;25,75;-25,75;16,49;42,24;;;;;;63,41;63,41;71,93;72,71;;;63,41;63,41
Sc_160 ;46,8;0;28,39;-28,39;18,41;46,8;;;;;;64,48;64,48;67,66;68,23;;;64,48;64,48
Sc_161 ;74,46;53,18;48,64;4,54;25,82;21,28;;;;;;79,23;79,23;79,26;79,07;;;79,23;79,23
Sc_162 ;46,99;0;28,43;-28,43;18,56;46,99;;;;;;72,92;72,92;78,78;78,89;;;72,92;72,92
Sc_163 ;58,07;26,63;37,91;-11,28;20,16;31,44;;;;;;78,4;78,4;75,12;76,63;;;78,4;78,4
Sc_164 ;56,06;34,92;41,84;-6,92;14,22;21,14;;;;;;83,73;83,73;83,51;83,74;;;83,73;83,73
Sc_165 ;61,76;0;40,95;-40,95;20,81;61,76;;;;;;81,04;81,04;77,36;77,64;;;81,04;81,04
Sc_166 ;60,35;33,79;39,55;-5,76;20,8;26,56;;;;;;80,81;80,81;79,38;79,48;;;80,81;80,81
Sc_167 ;0;0;8,81;-8,81;-8,81;0;;;;;;53,91;53,91;69,21;70,79;;;53,91;53,91
Sc_168 ;33,59;8,08;20,18;-12,1;13,41;25,51;;;;;;42,26;42,26;40,44;41,27;;;42,26;42,26
Sc_169 ;66,61;0;47,81;-47,81;18,8;66,61;;;;;;71,98;71,98;69,5;69,18;;;71,98;71,98
Sc_170 ;80,67;36,44;54,76;-18,32;25,91;44,23;;;;;;83,96;83,96;81,41;81,38;;;83,96;83,96
Sc_171 ;69,17;27,15;54,2;-27,05;14,97;42,02;;;;;;69,24;69,24;67,55;65,9;;;69,24;69,24
Sc_172 ;55,57;0;51,71;-51,71;3,86;55,57;;;;;;69,17;69,17;65,7;66,85;;;69,17;69,17
Sc_173 ;76,75;61,91;61,91;0;14,84;14,84;;;;;;78,06;78,06;73,97;73,2;;;78,06;78,06
Sc_174 ;30,4;0;19,3;-19,3;11,1;30,4;;;;;;67,66;67,66;64,88;65,23;;;67,66;67,66
Sc_175 ;66,83;0;47,01;-47,01;19,82;66,83;;;;;;75,76;75,76;75,75;75,93;;;75,76;75,76
Sc_176 ;70,17;0;48,84;-48,84;21,33;70,17;;;;;;81,4;81,4;80,26;80,62;;;81,4;81,4
Sc_177 ;67,13;0;44,38;-44,38;22,75;67,13;;;;;;73,18;73,18;73,07;73,28;;;73,18;73,18
Sc_178 ;77,45;34,55;46,2;-11,65;31,25;42,9;;;;;;91,3;91,3;95,06;95,09;;;91,3;91,3
Sc_179 ;78,54;35,34;48,71;-13,37;29,83;43,2;;;;;;92,24;92,24;94,71;95;;;92,24;92,24
Sc_180 ;91,86;36,18;57,59;-21,41;34,27;55,68;;;;;;97,16;97,16;96,32;96,17;;;97,16;97,16
Sc_181 ;91,74;41,33;61,81;-20,48;29,93;50,41;;;;;;93,12;93,12;93,84;93,74;;;93,12;93,12
Sc_182 ;92,5;0;62,11;-62,11;30,39;92,5;;;;;;93,59;93,59;93,71;93,69;;;93,59;93,59
Sc_183 ;93,8;74,28;74,28;0;19,52;19,52;;;;;;93,45;93,45;91,77;91,98;;;93,45;93,45
Sc_184 ;96,15;76,53;76,53;0;19,62;19,62;;;;;;95,72;95,72;94,89;94,3;;;95,72;95,72
Sc_185 ;77,19;35,74;47,66;-11,92;29,53;41,45;;;;;;91,12;91,12;94,07;93,84;;;91,12;91,12
Sc_186 ;72,28;23,72;45,7;-21,98;26,58;48,56;;;;;;75,63;75,63;76,47;76,99;;;75,63;75,63
Sc_187 ;39,78;0;22,73;-22,73;17,05;39,78;;;;;;28,56;28,56;25,67;28,17;;;28,56;28,56
Sc_188 ;25,34;0;13,38;-13,38;11,96;25,34;;;;;;57,46;57,46;64,55;68,05;;;57,46;57,46
Sc_189 ;27,37;0;14,65;-14,65;12,72;27,37;;;;;;61,83;61,83;68,24;73,24;;;61,83;61,83
Sc_190 ;28,88;3,72;10,9;-7,18;17,98;25,16;;;;;;70,54;70,54;73,61;73,75;;;70,54;70,54
Sc_191 ;26,81;2,7;9,17;-6,47;17,64;24,11;;;;;;69,95;69,95;69,88;68,97;;;69,95;69,95
Sc_192 ;0;0;7,74;-7,74;-7,74;0;;;;;;59,8;59,8;72,92;73,31;;;59,8;59,8
Sc_193 ;0;0;0;0;0;0;;;;;;59,76;59,76;57,33;58,05;;;59,76;59,76
Sc_194 ;4,66;0;1,05;-1,05;3,61;4,66;;;;;;71,68;71,68;66,51;67,46;;;71,68;71,68
Sc_195 ;17,94;0;5,16;-5,16;12,78;17,94;;;;;;75,42;75,42;66,15;68,6;;;75,42;75,42
Sc_196 ;15,35;0;3,67;-3,67;11,68;15,35;;;;;;70,26;70,26;66,3;66,94;;;70,26;70,26
Sc_197 ;8,85;0;2,47;-2,47;6,38;8,85;;;;;;69,4;69,4;58,97;59,22;;;69,4;69,4
Sc_198 ;9,77;0;3,42;-3,42;6,35;9,77;;;;;;74,32;74,32;64,69;66,59;;;74,32;74,32
Sc_199 ;38,76;5,06;19,52;-14,46;19,24;33,7;;;;;;68,8;68,8;66,3;67,5;;;68,8;68,8
Sc_200 ;45,84;5,28;21,13;-15,85;24,71;40,56;;;;;;79,78;79,78;75,28;75,89;;;79,78;79,78
Sc_201 ;44,47;0;26,51;-26,51;17,96;44,47;;;;;;74,26;74,26;72,14;72,25;;;74,26;74,26
Sc_202 ;19,44;44,83;6,43;38,4;13,01;-25,39;;;;;;0;0;20,39;0;;;0;3,19
Sc_203 ;0;0;2,85;-2,85;-2,85;0;;;;;;85,15;85,15;70,58;73,65;;;85,15;85,15
Sc_204 ;0;0;0,51;-0,51;-0,51;0;;;;;;63,31;63,31;65,36;68,55;;;63,31;63,31
Sc_205 ;43,12;0;14,96;-14,96;28,16;43,12;;;;;;37,32;37,32;47,21;32,14;;;37,32;37,32
Sc_206 ;11,17;7,59;8,02;-0,43;3,15;3,58;;;;;;56,82;56,82;61,19;67,85;;;56,82;56,82
Sc_207 ;0;0;2,75;-2,75;-2,75;0;;;;;;70,6;70,6;69,4;71,39;;;70,6;70,6
Sc_208 ;0;0;0,62;-0,62;-0,62;0;;;;;;63,24;63,24;53,11;56,02;;;63,24;63,24
Sc_209 ;8,85;11,27;12,45;-1,18;-3,6;-2,42;;;;;;44,22;44,22;40,44;44,83;;;44,22;44,22
Sc_210 ;21,54;2,25;15,3;-13,05;6,24;19,29;;;;;;57,04;57,04;48,08;46,8;;;57,04;57,04
Sc_211 ;28,18;3,07;13,77;-10,7;14,41;25,11;;;;;;71,7;71,7;54,64;71,27;;;71,7;71,7
Sc_212 ;30,35;0;22,25;-22,25;8,1;30,35;;;;;;71,05;71,05;68,4;68,07;;;71,05;71,05
Sc_213 ;28,16;6,61;17;-10,39;11,16;21,55;;;;;;59,67;59,67;69,55;69,48;;;59,67;59,67
Sc_214 ;34,84;0;20,15;-20,15;14,69;34,84;;;;;;64,76;64,76;75,18;78,56;;;64,76;64,76
Sc_215 ;38,34;7,93;24,6;-16,67;13,74;30,41;;;;;;59,62;59,62;58,41;64,82;;;59,62;59,62
Sc_216 ;19,92;0;10,83;-10,83;9,09;19,92;;;;;;53,89;53,89;68,4;68,62;;;53,89;53,89
Sc_217 ;32,08;1,46;16,63;-15,17;15,45;30,62;;;;;;62,78;62,78;69,61;70,75;;;62,78;62,78
Sc_218 ;20,42;0;8,91;-8,91;11,51;20,42;;;;;;72,95;72,95;62,41;60,29;;;72,95;72,95
Sc_219 ;15,07;2,07;7,75;-5,68;7,32;13;;;;;;65,97;65,97;0;54,24;;;65,97;65,97
Sc_220 ;50,31;30,37;33,7;-3,33;16,61;19,94;;;;;;76,85;76,85;78,09;76,94;;;76,85;76,85
Sc_221 ;52,87;30,26;35,28;-5,02;17,59;22,61;;;;;;64,26;64,26;64,22;64,65;;;64,26;64,26
Sc_222 ;26,12;14,15;15,3;-1,15;10,82;11,97;;;;;;56,59;56,59;36,73;50,94;;;56,59;56,59
Sc_223 ;7,88;0;2,64;-2,64;5,24;7,88;;;;;;56,3;56,3;53,02;53,31;;;56,3;56,3
Sc_224 ;18,06;7,07;8,23;-1,16;9,83;10,99;;;;;;58,78;58,78;41,94;46,41;;;58,78;58,78
Sc_225 ;57,01;10,11;25,67;-15,56;31,34;46,9;;;;;;67,08;67,08;54,82;59,02;;;67,08;67,08
Sc_226 ;34,8;9,57;16,09;-6,52;18,71;25,23;;;;;;71,57;71,57;29,2;30,33;;;71,57;71,57
Sc_227 ;0;0;0;0;0;0;;;;;;59,25;59,25;68,97;27,23;;;59,25;59,25
Sc_228 ;0;0;2,82;-2,82;-2,82;0;;;;;;83,74;83,74;76,98;75,1;;;83,74;83,74
Sc_229 ;41,9;0;21,86;-21,86;20,04;41,9;;;;;;72,23;72,23;63,22;63,84;;;72,23;72,23
Sc_230 ;26,65;0;19,8;-19,8;6,85;26,65;;;;;;64,16;64,16;62,02;62,94;;;64,16;64,16
Sc_231 ;8,68;0;3,54;-3,54;5,14;8,68;;;;;;60,35;60,35;41,35;39,68;;;60,35;60,35
Sc_232 ;54,72;23,5;25,44;-1,94;29,28;31,22;;;;;;69,26;69,26;65,29;65,95;;;69,26;69,26
Sc_233 ;19,33;0;6,1;-6,1;13,23;19,33;;;;;;59,32;59,32;56,07;55,7;;;59,32;59,32
Sc_234 ;24,03;6,65;12,01;-5,36;12,02;17,38;;;;;;67,94;67,94;72,77;74,08;;;67,94;67,94
Sc_235 ;0;0;0,8;-0,8;-0,8;0;;;;;;70,24;70,24;61,58;65,05;;;70,24;70,24
Sc_236 ;10,62;8,82;9,1;-0,28;1,52;1,8;;;;;;48,71;48,71;62,01;62,6;;;48,71;48,71
Sc_237 ;26,13;0;12,38;-12,38;13,75;26,13;;;;;;80,59;80,59;70,95;72,18;;;80,59;80,59
Sc_238 ;31,34;0;16,5;-16,5;14,84;31,34;;;;;;63,48;63,48;79,22;79,95;;;63,48;63,48
Sc_239 ;23,69;0;10,53;-10,53;13,16;23,69;;;;;;71,36;71,36;58,93;61,69;;;71,36;71,36
Sc_240 ;57,24;29,34;34,81;-5,47;22,43;27,9;;;;;;80,15;80,15;78,25;79,83;;;80,15;80,15
Sc_241 ;36,86;0;22,38;-22,38;14,48;36,86;;;;;;62,9;62,9;69,89;68,9;;;62,9;62,9
Sc_242 ;23,97;0;8,32;-8,32;15,65;23,97;;;;;;58,81;58,81;35,48;52,63;;;58,81;58,81
Sc_243 ;55,07;0;35,27;-35,27;19,8;55,07;;;;;;61,51;61,51;60,96;60,98;;;61,51;61,51
Sc_244 ;54,28;0;32,58;-32,58;21,7;54,28;;;;;;72,02;72,02;0;67,96;;;72,02;72,02
Sc_245 ;0;0;4,02;-4,02;-4,02;0;;;;;;37,72;37,72;49,72;36,76;;;37,72;37,72
Sc_246 ;41,49;0;14,7;-14,7;26,79;41,49;;;;;;36,39;36,39;0;28,77;;;36,39;36,39
Sc_247 ;54,04;20,61;26,99;-6,38;27,05;33,43;;;;;;58,3;58,3;56,08;56,13;;;58,3;58,3
Sc_248 ;0;0;0;0;0;0;;;;;;45,05;45,05;29,31;59,33;;;45,05;45,05
Sc_249 ;0;0;0,55;-0,55;-0,55;0;;;;;;80,08;80,08;78,19;78,29;;;80,08;80,08
Sc_250 ;0;0;10,68;-10,68;-10,68;0;;;;;;65,55;65,55;77,07;77,62;;;65,55;65,55
Sc_251 ;35,39;0;18,42;-18,42;16,97;35,39;;;;;;20,72;20,72;20,25;2,67;;;20,72;20,72
Sc_252 ;36,11;0;19,23;-19,23;16,88;36,11;;;;;;22,22;22,22;20,79;6,34;;;22,22;22,22
Sc_253 ;27,93;0;16,73;-16,73;11,2;27,93;;;;;;66,6;66,6;63;62,9;;;66,6;66,6
Sc_254 ;0;0;6,72;-6,72;-6,72;0;;;;;;68,26;68,26;63,99;63,99;;;68,26;68,26
Sc_255 ;93,03;79,4;79,4;0;13,63;13,63;;;;;;93,13;93,13;93,72;93,81;;;93,13;93,13
Sc_256 ;95,6;74,74;74,74;0;20,86;20,86;;;;;;95,94;95,94;95,43;95,51;;;95,94;95,94
Sc_257 ;92,83;66,65;69,68;-3,03;23,15;26,18;;;;;;92,31;92,31;91,62;91,21;;;92,31;92,31
Sc_258 ;89,52;40,13;59,58;-19,45;29,94;49,39;;;;;;90,99;90,99;90,71;90,81;;;90,99;90,99
Sc_259 ;91,55;36,11;58,11;-22;33,44;55,44;;;;;;96,35;96,35;95,21;95,37;;;96,35;96,35
Sc_260 ;77,72;35,77;47,61;-11,84;30,11;41,95;;;;;;91,19;91,19;93,5;93,28;;;91,19;91,19
Sc_261 ;79,25;0;57,87;-57,87;21,38;79,25;;;;;;87,9;87,9;87,76;87,64;;;87,9;87,9
Sc_262 ;77,18;0;52,35;-52,35;24,83;77,18;;;;;;86,91;86,91;87,41;87,04;;;86,91;86,91
Sc_263 ;74,82;0;53,98;-53,98;20,84;74,82;;;;;;82,65;82,65;82,44;82,76;;;82,65;82,65
Sc_264 ;52,45;4,02;37,01;-32,99;15,44;48,43;;;;;;61,41;61,41;59,85;60,08;;;61,41;61,41
Sc_265 ;57,13;1,14;32,15;-31,01;24,98;55,99;;;;;;74,56;74,56;74,54;74,54;;;74,56;74,56
Sc_266 ;43,4;0;16,85;-16,85;26,55;43,4;;;;;;81,34;81,34;77,91;79,16;;;81,34;81,34
Sc_267 ;8,12;0;6,83;-6,83;1,29;8,12;;;;;;64,81;64,81;64,15;67,55;;;64,81;64,81
Sc_268 ;12,92;0;7,19;-7,19;5,73;12,92;;;;;;51,72;51,72;63,83;62,07;;;51,72;51,72
Sc_269 ;21,02;0;6,91;-6,91;14,11;21,02;;;;;;63,27;63,27;63,65;63,98;;;63,27;63,27
Sc_270 ;40,08;2,76;21,68;-18,92;18,4;37,32;;;;;;68,3;68,3;63,86;64,24;;;68,3;68,3
Sc_271 ;50,82;0;25,23;-25,23;25,59;50,82;;;;;;76,69;76,69;75,22;75,39;;;76,69;76,69
Sc_272 ;43,38;33,39;32,9;0,49;10,48;9,99;;;;;;58,51;58,51;58,87;60,46;;;58,51;58,51
Sc_273 ;57,41;3,65;34,37;-30,72;23,04;53,76;;;;;;72,7;72,7;67,33;68,29;;;72,7;72,7
Sc_274 ;60,57;1,28;35,33;-34,05;25,24;59,29;;;;;;80,44;80,44;79,55;79,99;;;80,44;80,44
Sc_275 ;55,63;0;33,41;-33,41;22,22;55,63;;;;;;75,34;75,34;75,09;75,41;;;75,34;75,34
Sc_276 ;82,83;0;55,38;-55,38;27,45;82,83;;;;;;86,71;86,71;86,17;86,42;;;86,71;86,71
Sc_277 ;73,81;0;56,85;-56,85;16,96;73,81;;;;;;83,17;83,17;82,05;82,2;;;83,17;83,17
Sc_278 ;55,77;48,16;50,54;-2,38;5,23;7,61;;;;;;59,96;59,96;58,74;59,01;;;59,96;59,96
Sc_279 ;64,86;4,27;42,07;-37,8;22,79;60,59;;;;;;75,53;75,53;75,32;75,33;;;75,53;75,53
Sc_280 ;63,35;0;41,22;-41,22;22,13;63,35;;;;;;82,78;82,78;80,79;80,9;;;82,78;82,78
Sc_281 ;36,09;1,54;26,22;-24,68;9,87;34,55;;;;;;36,22;36,22;36,74;36,71;;;36,22;36,22
Sc_282 ;80,37;54,85;54,85;0;25,52;25,52;;;;;;84,75;84,75;81,45;80,64;;;84,75;84,75
Sc_283 ;48,08;0;38,37;-38,37;9,71;48,08;;;;;;72,09;72,09;55,17;68,92;;;72,09;72,09
Sc_284 ;74,72;8,08;55,89;-47,81;18,83;66,64;;;;;;76,47;76,47;75,85;73,3;;;76,47;76,47
Sc_285 ;77,94;39,49;57,54;-18,05;20,4;38,45;;;;;;80,14;80,14;78,34;77,67;;;80,14;80,14
Sc_286 ;72,16;0;46,69;-46,69;25,47;72,16;;;;;;78,19;78,19;67,24;77,97;;;78,19;78,19
Sc_287 ;84,99;59,13;59,13;0;25,86;25,86;;;;;;89,8;89,8;91,31;89,68;;;89,8;89,8
Sc_288 ;77,41;0;53,31;-53,31;24,1;77,41;;;;;;79,57;79,57;79,09;79,84;;;79,57;79,57
Sc_289 ;58,66;0;40,18;-40,18;18,48;58,66;;;;;;64,79;64,79;63,2;64,41;;;64,79;64,79
Sc_290 ;48,61;0;32,97;-32,97;15,64;48,61;;;;;;51,61;51,61;56,87;48,82;;;51,61;51,61
Sc_291 ;80,56;0;55,71;-55,71;24,85;80,56;;;;;;83,47;83,47;76,55;83,74;;;83,47;83,47
Sc_292 ;53,03;1,84;24,75;-22,91;28,28;51,19;;;;;;71;71;72,09;72,14;;;71;71
Sc_293 ;10,18;3,54;3,54;0;6,64;6,64;;;;;;60,82;60,82;63,81;69;;;60,82;60,82
Sc_294 ;50,24;5,53;19,8;-14,27;30,44;44,71;;;;;;71,99;71,99;71,31;72,1;;;71,99;71,99
Sc_295 ;44,98;13,79;20,58;-6,79;24,4;31,19;;;;;;71,25;71,25;73,86;74,34;;;71,25;71,25
Sc_296 ;56,69;9,81;17,77;-7,96;38,92;46,88;;;;;;49,14;49,14;48,01;49,2;;;49,14;49,14
Sc_297 ;33,51;15,73;16,43;-0,7;17,08;17,78;;;;;;52,01;52,01;57,17;57,47;;;52,01;52,01
Sc_298 ;51,31;20,45;25,4;-4,95;25,91;30,86;;;;;;76,42;76,42;74,35;74,79;;;76,42;76,42
Sc_299 ;56,93;2,15;25,08;-22,93;31,85;54,78;;;;;;76,15;76,15;74,37;73,71;;;76,15;76,15
Sc_300 ;55,22;27,41;29,55;-2,14;25,67;27,81;;;;;;79,51;79,51;75,09;75,6;;;79,51;79,51
