Nom image;V3;V2;V1;delta V2-V1;delta V3-V1;delta V3-V2;;;moyenne In;moyenne Sc;;V4 ;V5 ;V6 filtre avant top;V7 filtre apres top;;;V8;V309
In_71 ;66,85;73,64;27;46,64;39,85;-6,79;;;;;;54,19;66,85;0;58,17;;;66,85;66,85
In_72 ;55,81;68,41;6,46;61,95;49,35;-12,6;;;;;;0;55,81;67,11;53,7;;;55,81;55,81
In_73 ;69,12;55,06;23,41;31,65;45,71;14,06;;;;;;68,68;69,12;0;70,79;;;69,12;69,12
In_74 ;73,48;44,2;22,04;22,16;51,44;29,28;;;;;;61,27;73,48;0;73,05;;;73,48;73,48
In_75 ;60,2;23,78;53,88;-30,1;6,32;36,42;;;;;;3,73;60,2;0;57,17;;;60,2;60,2
In_76 ;70,17;10,8;27,14;-16,34;43,03;59,37;;;;;;63,28;70,17;0;65,84;;;70,17;70,17
In_77 ;56,99;6,91;29;-22,09;27,99;50,08;;;;;;0;56,99;0;48,8;;;56,99;56,99
In_78 ;75,16;45,8;22,86;22,94;52,3;29,36;;;;;;74,71;75,16;12,11;76,53;;;75,16;75,16
In_79 ;66,1;0;34,13;-34,13;31,97;66,1;;;;;;26,85;66,1;0;32,98;;;66,1;66,1
In_80 ;60,95;10,17;25,6;-15,43;35,35;50,78;;;;;;72,08;60,95;0;64,71;;;60,95;60,95
In_81 ;66,63;20,25;47,1;-26,85;19,53;46,38;;;;;;70,71;66,63;0;21,19;;;66,63;66,63
In_82 ;67,7;78,18;56,16;22,02;11,54;-10,48;;;;;;57,2;67,7;0;69,73;;;67,7;67,7
In_83 ;0;0;54,24;-54,24;-54,24;0;;;;;;0;0;0;0;;;0;44,91
In_84 ;64,49;62,97;50,14;12,83;14,35;1,52;;;;;;53,72;64,49;0;65,28;;;64,49;64,49
In_85 ;61,7;35,12;51,79;-16,67;9,91;26,58;;;;;;56,54;61,7;38,54;62,12;;;61,7;61,7
In_86 ;72,76;60,51;45,74;14,77;27,02;12,25;;;;;;65,37;72,76;28,36;70,14;;;72,76;72,76
In_87 ;66,26;55,42;43,93;11,49;22,33;10,84;;;;;;60,04;66,26;67,8;64,09;;;66,26;66,26
In_88 ;0;36,38;7,16;29,22;-7,16;-36,38;;;;;;0;0;8,57;0;;;0;4,07
In_89 ;0;59,87;3,69;56,18;-3,69;-59,87;;;;;;2,83;0;0;3,02;;;0;2,06
In_90 ;56,04;60,94;9,68;51,26;46,36;-4,9;;;;;;0;56,04;0;42,88;;;56,04;56,04
In_91 ;0;34,44;6,25;28,19;-6,25;-34,44;;;;;;0;0;0;0;;;0;3,73
In_92 ;61,45;56,99;58,97;-1,98;2,48;4,46;;;;;;64,36;61,45;62;61,95;;;61,45;61,45
In_93 ;56,75;56,18;44,77;11,41;11,98;0,57;;;;;;20,88;56,75;44,98;64,74;;;56,75;56,75
In_94 ;73,44;55,36;56,6;-1,24;16,84;18,08;;;;;;65,87;73,44;73,65;72,99;;;73,44;73,44
In_95 ;50,29;61,36;31,43;29,93;18,86;-11,07;;;;;;14,62;50,29;59,34;15,98;;;50,29;50,29
In_96 ;46,86;61,52;30,51;31,01;16,35;-14,66;;;;;;40,28;46,86;0;48,01;;;46,86;46,86
In_97 ;0;75,11;24,54;50,57;-24,54;-75,11;;;;;;0;0;69,99;0;;;0;15,29
In_98 ;44,77;0;44,77;-44,77;0;44,77;;;;;;67,72;44,77;0;65,33;;;44,77;44,77
In_99 ;43,51;0;49,15;-49,15;-5,64;43,51;;;;;;64,47;43,51;43,36;43,38;;;43,51;43,51
In_100 ;61,56;10;49,27;-39,27;12,29;51,56;;;;;;57,46;61,56;62,62;62,87;;;61,56;61,56
In_101 ;62,93;59,78;55,33;4,45;7,6;3,15;;;;;;60,9;62,93;63,47;63,09;;;62,93;62,93
In_102 ;77,26;73,1;51,56;21,54;25,7;4,16;;;;;;70,96;77,26;80,87;77,44;;;77,26;77,26
In_103 ;78,73;59,53;68,28;-8,75;10,45;19,2;;;;;;62,42;78,73;77,01;74,65;;;78,73;78,73
In_104 ;77,03;67,11;55,15;11,96;21,88;9,92;;;;;;69,17;77,03;75,32;75,91;;;77,03;77,03
